00|75.518.289/5908-84|Empresa Versao2 01 LTDA|(48) 94113-6042
03|4|Classe 28|
02|5|Assinatura 172|376.74
03|1|Categoria 91|
03|2|Tipo 51|
03|3|Grupo 85|
02|6|Assinatura 688|182.82
03|1|Tipo 16|
03|2|Tipo 03|
00|65.650.248/4910-45|Empresa Versao2 05 LTDA|(41) 97995-8549
01|CTRC|05-0001|2599.41
02|1|Produto 911|334.00
03|1|Grupo 12|
03|2|Grupo 63|
03|3|Categoria 79|
02|2|Serviço 981|103.85
03|1|Categoria 12|
02|3|Pacote 217|244.63
03|1|Grupo 15|
03|2|Categoria 75|
02|4|Item 629|160.34
03|1|Tipo 07|
03|2|Categoria 73|
02|5|Assinatura 978|381.76
03|1|Categoria 07|
03|2|Tipo 93|
03|3|Tipo 39|
03|4|Grupo 59|
02|6|Assinatura 228|83.44
03|1|Tipo 86|
02|7|Peça 276|486.79
03|1|Classe 75|
03|2|Categoria 13|
03|3|Grupo 36|
02|8|Componente 745|482.04
03|1|Classe 33|
03|2|Classe 01|
03|3|Grupo 60|
02|9|Item 585|288.37
03|1|Grupo 78|
03|2|Categoria 30|
03|3|Classe 53|
03|4|Tipo 19|
02|10|Licença 209|34.19
03|1|Grupo 11|
03|2|Grupo 35|
03|3|Tipo 05|
03|4|Classe 35|
01|NF|05-0002|1896.04
02|1|Pacote 990|177.62
03|1|Tipo 69|
03|2|Grupo 63|
03|3|Grupo 93|
03|4|Categoria 34|
02|2|Produto 398|127.12
03|1|Classe 51|
03|2|Tipo 92|
03|3|Grupo 73|
02|3|Peça 367|38.29
03|1|Classe 37|
03|2|Categoria 97|
03|3|Categoria 62|
03|4|Tipo 56|
02|4|Licença 875|471.81
03|1|Grupo 87|
03|2|Categoria 67|
03|3|Tipo 42|
03|4|Classe 78|
02|5|Componente 599|375.27
03|1|Categoria 05|
02|6|Serviço 768|290.55
03|1|Classe 89|
02|7|Assinatura 118|287.79
03|1|Categoria 54|
03|2|Tipo 85|
02|8|Licença 068|127.59
03|1|Grupo 82|
03|2|Tipo 71|
03|3|Classe 09|
03|4|Tipo 74|
01|NFS|05-0003|1868.37
02|1|Peça 445|310.88
03|1|Grupo 41|
03|2|Grupo 15|
03|3|Grupo 79|
03|4|Categoria 18|
02|2|Pacote 282|127.38
03|1|Grupo 83|
03|2|Classe 43|
03|3|Classe 99|
03|4|Classe 83|
02|3|Serviço 301|77.06
03|1|Categoria 08|
03|2|Grupo 43|
02|4|Pacote 604|437.15
03|1|Grupo 94|
03|2|Classe 42|
02|5|Serviço 035|421.78
03|1|Classe 46|
03|2|Categoria 34|
02|6|Componente 320|244.34
03|1|Grupo 19|
03|2|Categoria 16|
03|3|Classe 60|
02|7|Peça 679|124.76
03|1|Categoria 70|
02|8|Item 120|125.02
03|1|Grupo 33|
03|2|Tipo 91|
01|NFC|05-0004|2187.63
02|1|Pacote 166|254.09
03|1|Classe 95|
03|2|Grupo 29|
03|3|Categoria 53|
02|2|Item 154|44.30
03|1|Grupo 23|
03|2|Categoria 75|
03|3|Categoria 22|
03|4|Categoria 13|
02|3|Licença 330|207.21
03|1|Tipo 07|
03|2|Classe 30|
02|4|Item 720|336.99
03|1|Classe 33|
03|2|Grupo 15|
02|5|Componente 944|268.11
03|1|Categoria 35|
03|2|Categoria 30|
03|3|Grupo 92|
03|4|Categoria 45|
02|6|Componente 294|39.67
03|1|Grupo 92|
03|2|Tipo 75|
03|3|Classe 05|
03|4|Categoria 00|
02|7|Peça 047|249.42
03|1|Grupo 12|
03|2|Grupo 89|
03|3|Categoria 71|
03|4|Categoria 24|
02|8|Componente 303|178.79
03|1|Categoria 52|
03|2|Classe 30|
03|3|Tipo 59|
02|9|Assinatura 251|365.41
03|1|Tipo 44|
03|2|Tipo 23|
03|3|Tipo 64|
03|4|Classe 78|
02|10|Componente 496|243.64
03|1|Grupo 77|
03|2|Grupo 49|
01|NFE|05-0005|2919.67
02|1|Serviço 634|453.86
03|1|Classe 60|
03|2|Grupo 83|
03|3|Categoria 64|
02|2|Componente 797|277.01
03|1|Grupo 89|
03|2|Tipo 22|
03|3|Categoria 41|
02|3|Componente 027|458.40
03|1|Categoria 68|
03|2|Grupo 87|
03|3|Grupo 85|
03|4|Grupo 48|
02|4|Pacote 760|344.60
03|1|Categoria 44|
03|2|Grupo 69|
03|3|Categoria 47|
02|5|Componente 692|397.20
03|1|Tipo 96|
02|6|Item 227|67.09
03|1|Classe 56|
03|2|Categoria 38|
03|3|Classe 98|
03|4|Grupo 50|
02|7|Assinatura 634|430.62
03|1|Tipo 02|
03|2|Classe 17|
02|8|Licença 997|392.88
03|1|Classe 50|
03|2|Grupo 39|
03|3|Tipo 94|
02|9|Serviço 740|27.39
03|1|Grupo 53|
02|10|Componente 787|70.62
03|1|Categoria 33|
03|2|Classe 33|
03|3|Classe 52|
01|NFS|05-0006|915.72
02|1|Serviço 298|247.16
03|1|Tipo 36|
03|2|Categoria 94|
03|3|Grupo 57|
02|2|Assinatura 732|79.36
03|1|Tipo 43|
03|2|Categoria 93|
03|3|Categoria 18|
03|4|Categoria 03|
02|3|Item 689|179.85
03|1|Categoria 28|
02|4|Licença 658|333.87
03|1|Tipo 19|
03|2|Grupo 54|
03|3|Categoria 49|
03|4|Tipo 84|
02|5|Assinatura 071|75.48
03|1|Classe 03|
01|NFC|05-0007|1110.73
02|1|Serviço 329|155.70
03|1|Tipo 82|
03|2|Tipo 98|
02|2|Pacote 415|161.34
03|1|Grupo 31|
03|2|Tipo 96|
03|3|Classe 21|
02|3|Pacote 084|163.53
03|1|Tipo 90|
02|4|Licença 587|262.63
03|1|Classe 45|
02|5|Serviço 933|367.53
03|1|Grupo 67|
03|2|Grupo 08|
03|3|Categoria 22|
01|CTRC|05-0008|1539.16
02|1|Licença 517|452.37
03|1|Categoria 45|
03|2|Grupo 91|
02|2|Serviço 229|184.33
03|1|Grupo 72|
02|3|Pacote 914|302.75
03|1|Classe 72|
02|4|Produto 523|134.65
03|1|Categoria 38|
03|2|Categoria 46|
02|5|Item 349|402.14
03|1|Tipo 85|
02|6|Assinatura 601|62.92
03|1|Classe 43|
01|NFS|05-0009|2182.23
02|1|Produto 328|266.47
03|1|Classe 58|
02|2|Pacote 326|420.47
03|1|Grupo 35|
03|2|Classe 49|
02|3|Pacote 439|184.07
03|1|Categoria 79|
02|4|Item 156|131.11
03|1|Grupo 61|
02|5|Produto 204|412.93
03|1|Tipo 90|
03|2|Grupo 99|
02|6|Assinatura 944|140.71
03|1|Tipo 62|
02|7|Serviço 328|327.13
03|1|Classe 07|
03|2|Tipo 00|
03|3|Categoria 35|
03|4|Grupo 39|
02|8|Pacote 951|237.59
03|1|Grupo 53|
03|2|Grupo 99|
03|3|Grupo 23|
03|4|Categoria 91|
02|9|Licença 478|61.75
03|1|Categoria 40|
03|2|Grupo 73|
03|3|Tipo 81|
01|NF|05-0010|802.30
02|1|Assinatura 644|158.94
03|1|Tipo 51|
03|2|Tipo 77|
02|2|Serviço 213|307.24
03|1|Tipo 08|
03|2|Categoria 78|
02|3|Licença 324|82.44
03|1|Classe 66|
03|2|Grupo 26|
02|4|Assinatura 629|162.85
03|1|Categoria 13|
02|5|Item 377|90.83
03|1|Grupo 53|
03|2|Grupo 64|
03|3|Categoria 74|
00|86.738.388/6157-23|Empresa Versao2 06 LTDA|(01) 99186-2182
01|NFC|06-0001|2268.42
02|1|Licença 111|370.02
03|1|Classe 46|
03|2|Classe 41|
03|3|Grupo 14|
03|4|Tipo 25|
02|2|Pacote 766|21.97
03|1|Categoria 48|
03|2|Tipo 97|
03|3|Categoria 88|
02|3|Licença 400|244.70
03|1|Categoria 39|
03|2|Classe 45|
03|3|Tipo 48|
03|4|Categoria 02|
02|4|Serviço 697|199.37
03|1|Tipo 92|
03|2|Classe 84|
03|3|Classe 15|
02|5|Pacote 720|180.81
03|1|Categoria 37|
03|2|Tipo 70|
03|3|Grupo 59|
02|6|Licença 868|498.69
03|1|Classe 98|
03|2|Classe 46|
03|3|Grupo 93|
03|4|Tipo 40|
02|7|Componente 659|414.36
03|1|Grupo 69|
03|2|Categoria 39|
03|3|Tipo 44|
02|8|Serviço 715|126.36
03|1|Tipo 26|
02|9|Pacote 521|212.14
03|1|Categoria 32|
03|2|Tipo 62|
03|3|Grupo 99|
01|NF|06-0002|1904.66
02|1|Pacote 826|479.09
03|1|Tipo 11|
02|2|Assinatura 461|298.15
03|1|Tipo 96|
03|2|Categoria 07|
03|3|Tipo 77|
02|3|Serviço 758|151.81
03|1|Classe 73|
03|2|Grupo 12|
02|4|Produto 670|425.36
03|1|Tipo 36|
02|5|Item 007|353.46
03|1|Grupo 90|
03|2|Tipo 77|
03|3|Grupo 44|
02|6|Componente 148|196.79
03|1|Categoria 91|
03|2|Tipo 71|
03|3|Classe 65|
03|4|Grupo 07|
01|NFE|06-0003|1903.86
02|1|Peça 002|462.37
03|1|Grupo 71|
03|2|Grupo 10|
02|2|Componente 360|423.91
03|1|Categoria 76|
03|2|Tipo 02|
02|3|Serviço 243|256.16
03|1|Categoria 50|
02|4|Item 317|52.46
03|1|Categoria 69|
03|2|Categoria 82|
03|3|Classe 99|
02|5|Pacote 288|66.96
03|1|Grupo 20|
03|2|Tipo 76|
02|6|Componente 753|114.45
03|1|Grupo 84|
03|2|Grupo 01|
02|7|Produto 018|464.99
03|1|Grupo 30|
03|2|Classe 05|
03|3|Grupo 10|
02|8|Pacote 564|33.33
03|1|Grupo 95|
02|9|Serviço 763|29.23
03|1|Classe 57|
03|2|Grupo 74|
03|3|Grupo 19|
03|4|Tipo 74|
01|CTRC|06-0004|1981.30
02|1|Peça 423|400.49
03|1|Tipo 86|
02|2|Componente 693|235.58
03|1|Grupo 29|
03|2|Tipo 50|
02|3|Licença 901|121.28
03|1|Categoria 30|
02|4|Serviço 048|314.64
03|1|Classe 32|
03|2|Classe 45|
03|3|Tipo 89|
02|5|Licença 545|34.65
03|1|Classe 45|
02|6|Produto 421|389.17
03|1|Categoria 78|
02|7|Assinatura 045|284.96
03|1|Classe 98|
03|2|Categoria 86|
03|3|Tipo 77|
02|8|Item 139|200.53
03|1|Classe 40|
03|2|Categoria 71|
03|3|Tipo 35|
03|4|Categoria 59|
01|CTRC|06-0005|1516.35
02|1|Serviço 539|399.92
03|1|Classe 07|
03|2|Categoria 83|
03|3|Tipo 70|
02|2|Assinatura 890|76.87
03|1|Classe 27|
02|3|Peça 210|480.74
03|1|Tipo 30|
03|2|Tipo 42|
03|3|Categoria 86|
03|4|Tipo 52|
02|4|Peça 539|368.70
03|1|Tipo 03|
03|2|Classe 62|
02|5|Item 930|190.12
03|1|Categoria 69|
03|2|Grupo 33|
01|NFS|06-0006|1595.14
02|1|Pacote 687|321.21
03|1|Classe 91|
03|2|Grupo 59|
03|3|Classe 03|
02|2|Licença 315|18.31
03|1|Classe 08|
02|3|Pacote 215|419.34
03|1|Classe 10|
03|2|Grupo 42|
03|3|Tipo 34|
03|4|Categoria 55|
02|4|Item 194|424.38
03|1|Grupo 36|
03|2|Grupo 83|
02|5|Pacote 893|116.62
03|1|Categoria 26|
03|2|Tipo 30|
03|3|Tipo 72|
02|6|Item 235|255.54
03|1|Classe 58|
03|2|Tipo 74|
03|3|Categoria 40|
03|4|Grupo 63|
02|7|Assinatura 991|39.74
03|1|Categoria 83|
03|2|Grupo 27|
01|CTRC|06-0007|1763.46
02|1|Pacote 582|87.37
03|1|Classe 88|
03|2|Classe 28|
03|3|Classe 98|
02|2|Componente 843|253.36
03|1|Tipo 91|
03|2|Categoria 49|
02|3|Pacote 136|423.05
03|1|Grupo 32|
03|2|Grupo 77|
03|3|Categoria 41|
02|4|Componente 105|282.94
03|1|Tipo 38|
03|2|Categoria 10|
02|5|Pacote 361|187.50
03|1|Classe 35|
03|2|Tipo 39|
03|3|Classe 88|
02|6|Licença 032|435.49
03|1|Categoria 96|
02|7|Serviço 254|38.20
03|1|Classe 60|
03|2|Tipo 87|
03|3|Classe 48|
02|8|Produto 844|55.55
03|1|Grupo 14|
03|2|Grupo 18|
01|NF|06-0008|1041.54
02|1|Produto 107|298.78
03|1|Categoria 40|
03|2|Categoria 73|
03|3|Tipo 18|
02|2|Serviço 883|240.61
03|1|Categoria 19|
02|3|Assinatura 620|72.69
03|1|Classe 11|
03|2|Classe 29|
02|4|Peça 036|390.43
03|1|Classe 82|
03|2|Classe 46|
03|3|Categoria 61|
02|5|Produto 335|39.03
03|1|Classe 18|
01|NFC|06-0009|2599.80
02|1|Licença 347|427.52
03|1|Classe 79|
03|2|Tipo 76|
03|3|Classe 98|
02|2|Item 020|450.44
03|1|Tipo 42|
03|2|Grupo 06|
03|3|Tipo 28|
03|4|Categoria 92|
02|3|Serviço 309|424.87
03|1|Grupo 11|
03|2|Categoria 84|
03|3|Tipo 49|
02|4|Licença 770|348.60
03|1|Classe 26|
02|5|Licença 394|162.74
03|1|Tipo 89|
03|2|Classe 85|
02|6|Pacote 933|322.67
03|1|Tipo 06|
03|2|Classe 48|
02|7|Item 303|17.22
03|1|Tipo 94|
03|2|Tipo 06|
03|3|Grupo 13|
02|8|Produto 969|445.74
03|1|Grupo 07|
03|2|Categoria 61|
01|NFC|06-0010|1164.41
02|1|Licença 962|14.98
03|1|Grupo 52|
02|2|Componente 329|353.47
03|1|Classe 48|
02|3|Serviço 755|53.56
03|1|Tipo 46|
02|4|Licença 418|159.21
03|1|Categoria 60|
03|2|Grupo 57|
03|3|Tipo 42|
02|5|Produto 367|57.94
03|1|Tipo 01|
03|2|Categoria 25|
03|3|Classe 66|
02|6|Licença 604|300.61
03|1|Grupo 46|
03|2|Categoria 26|
03|3|Classe 21|
03|4|Classe 00|
02|7|Item 382|224.64
03|1|Grupo 86|
03|2|Categoria 99|
03|3|Classe 15|
03|4|Classe 16|
00|99.368.085/1089-61|Empresa Versao2 07 LTDA|(18) 91633-9692
01|CTRC|07-0001|1789.29
02|1|Pacote 124|327.58
03|1|Grupo 12|
03|2|Tipo 50|
02|2|Item 672|121.96
03|1|Classe 55|
02|3|Serviço 188|458.53
03|1|Tipo 16|
03|2|Grupo 42|
03|3|Classe 92|
02|4|Assinatura 294|86.77
03|1|Categoria 66|
03|2|Classe 47|
02|5|Licença 696|428.20
03|1|Classe 13|
03|2|Categoria 04|
03|3|Categoria 95|
02|6|Pacote 665|162.69
03|1|Classe 45|
03|2|Tipo 10|
02|7|Serviço 484|145.71
03|1|Tipo 95|
03|2|Grupo 68|
03|3|Tipo 04|
02|8|Assinatura 633|57.85
03|1|Classe 62|
03|2|Grupo 82|
01|NFS|07-0002|1010.88
02|1|Item 654|340.41
03|1|Tipo 30|
03|2|Categoria 00|
03|3|Categoria 09|
02|2|Produto 561|87.09
03|1|Grupo 31|
02|3|Componente 054|317.14
03|1|Grupo 39|
03|2|Categoria 41|
03|3|Classe 45|
02|4|Produto 595|80.37
03|1|Categoria 71|
02|5|Licença 255|185.87
03|1|Grupo 84|
03|2|Classe 68|
03|3|Grupo 35|
01|NFC|07-0003|1015.89
02|1|Pacote 976|64.79
03|1|Categoria 66|
02|2|Componente 635|39.97
03|1|Grupo 40|
02|3|Item 217|214.00
03|1|Grupo 29|
03|2|Classe 27|
02|4|Serviço 339|311.46
03|1|Classe 72|
02|5|Item 760|11.42
03|1|Classe 93|
03|2|Tipo 87|
03|3|Grupo 15|
03|4|Classe 27|
02|6|Item 476|180.85
03|1|Tipo 46|
03|2|Grupo 59|
03|3|Tipo 82|
02|7|Assinatura 934|193.40
03|1|Categoria 93|
03|2|Categoria 51|
01|NFS|07-0004|1905.72
02|1|Peça 220|91.11
03|1|Categoria 79|
03|2|Tipo 13|
02|2|Peça 300|186.92
03|1|Classe 65|
02|3|Componente 904|277.41
03|1|Grupo 85|
02|4|Licença 664|444.99
03|1|Grupo 78|
02|5|Componente 987|241.94
03|1|Tipo 51|
03|2|Tipo 40|
02|6|Componente 892|339.29
03|1|Categoria 21|
03|2|Classe 85|
03|3|Grupo 79|
02|7|Item 512|61.75
03|1|Tipo 74|
03|2|Categoria 75|
02|8|Produto 832|106.09
03|1|Categoria 32|
02|9|Pacote 964|156.22
03|1|Tipo 48|
03|2|Classe 73|
03|3|Categoria 47|
01|CTRC|07-0005|1019.53
02|1|Produto 720|428.61
03|1|Categoria 40|
03|2|Tipo 39|
02|2|Assinatura 934|26.11
03|1|Categoria 30|
02|3|Componente 606|59.52
03|1|Grupo 34|
03|2|Grupo 09|
03|3|Classe 72|
03|4|Tipo 54|
02|4|Pacote 712|206.59
03|1|Classe 39|
03|2|Tipo 45|
03|3|Tipo 75|
03|4|Classe 78|
02|5|Componente 943|298.70
03|1|Classe 82|
03|2|Tipo 42|
03|3|Tipo 76|
03|4|Grupo 23|
01|NFE|07-0006|1901.64
02|1|Componente 415|195.44
03|1|Tipo 29|
03|2|Tipo 80|
02|2|Serviço 868|460.19
03|1|Classe 48|
03|2|Classe 05|
02|3|Licença 680|196.69
03|1|Grupo 52|
02|4|Assinatura 516|327.13
03|1|Tipo 46|
03|2|Grupo 82|
03|3|Categoria 15|
03|4|Classe 28|
02|5|Produto 035|258.73
03|1|Classe 65|
03|2|Tipo 91|
02|6|Componente 675|386.02
03|1|Classe 31|
03|2|Classe 72|
02|7|Produto 878|77.44
03|1|Grupo 34|
01|CTRC|07-0007|1904.30
02|1|Serviço 510|431.19
03|1|Categoria 36|
03|2|Tipo 75|
03|3|Classe 82|
02|2|Pacote 336|331.98
03|1|Classe 09|
03|2|Categoria 68|
02|3|Assinatura 949|476.98
03|1|Grupo 45|
02|4|Produto 592|351.78
03|1|Grupo 07|
02|5|Item 100|312.37
03|1|Tipo 75|
03|2|Tipo 22|
01|NFC|07-0008|1486.06
02|1|Serviço 030|222.46
03|1|Tipo 81|
03|2|Tipo 43|
03|3|Tipo 44|
02|2|Serviço 386|235.44
03|1|Categoria 70|
03|2|Categoria 48|
03|3|Classe 03|
03|4|Categoria 88|
02|3|Pacote 255|142.50
03|1|Categoria 01|
03|2|Tipo 45|
02|4|Pacote 995|42.02
03|1|Classe 09|
02|5|Produto 783|374.46
03|1|Classe 93|
03|2|Classe 09|
03|3|Tipo 00|
02|6|Serviço 479|469.18
03|1|Categoria 10|
03|2|Categoria 36|
01|NFC|07-0009|1219.90
02|1|Componente 532|308.60
03|1|Classe 46|
03|2|Tipo 56|
02|2|Peça 204|172.25
03|1|Classe 08|
02|3|Peça 459|251.19
03|1|Grupo 48|
03|2|Classe 82|
03|3|Categoria 88|
03|4|Classe 28|
02|4|Assinatura 097|176.43
03|1|Grupo 58|
02|5|Pacote 477|311.43
03|1|Grupo 99|
03|2|Categoria 67|
03|3|Tipo 18|
03|4|Categoria 56|
01|NFS|07-0010|2013.00
02|1|Licença 065|453.74
03|1|Classe 54|
03|2|Categoria 27|
02|2|Pacote 918|241.23
03|1|Categoria 61|
02|3|Peça 954|149.29
03|1|Categoria 83|
03|2|Classe 00|
03|3|Classe 18|
03|4|Tipo 01|
02|4|Produto 792|421.13
03|1|Grupo 56|
03|2|Classe 99|
03|3|Tipo 25|
03|4|Classe 81|
02|5|Item 643|32.64
03|1|Tipo 50|
03|2|Grupo 94|
02|6|Pacote 027|386.03
03|1|Classe 62|
03|2|Categoria 85|
03|3|Categoria 64|
02|7|Serviço 747|16.75
03|1|Grupo 77|
02|8|Componente 674|312.19
03|1|Categoria 98|
00|19.738.243/1073-72|Empresa Versao2 08 LTDA|(77) 92558-9882
01|CTRC|08-0001|1733.85
02|1|Licença 962|360.26
03|1|Classe 42|
02|2|Item 862|58.67
03|1|Categoria 87|
02|3|Produto 988|37.79
03|1|Grupo 87|
03|2|Grupo 25|
03|3|Categoria 41|
03|4|Tipo 91|
02|4|Serviço 340|248.16
03|1|Categoria 67|
03|2|Classe 57|
03|3|Tipo 27|
03|4|Categoria 17|
02|5|Item 251|329.48
03|1|Grupo 45|
03|2|Tipo 81|
02|6|Produto 699|319.11
03|1|Grupo 86|
03|2|Categoria 18|
03|3|Classe 26|
03|4|Categoria 44|
02|7|Pacote 133|179.50
03|1|Classe 42|
03|2|Grupo 90|
03|3|Grupo 24|
03|4|Grupo 42|
02|8|Produto 234|94.11
03|1|Grupo 36|
03|2|Grupo 10|
03|3|Grupo 35|
02|9|Produto 656|16.82
03|1|Grupo 78|
03|2|Grupo 76|
03|3|Tipo 29|
03|4|Tipo 31|
02|10|Licença 628|89.95
03|1|Categoria 72|
03|2|Classe 57|
03|3|Tipo 25|
01|NFS|08-0002|2393.11
02|1|Item 933|319.60
03|1|Categoria 83|
03|2|Classe 70|
02|2|Pacote 272|33.40
03|1|Categoria 24|
03|2|Classe 57|
03|3|Classe 66|
02|3|Produto 895|137.03
03|1|Tipo 01|
03|2|Grupo 95|
03|3|Tipo 38|
02|4|Componente 705|494.07
03|1|Grupo 65|
02|5|Produto 453|366.48
03|1|Tipo 31|
02|6|Produto 237|179.03
03|1|Classe 11|
03|2|Grupo 97|
03|3|Categoria 60|
02|7|Componente 978|41.54
03|1|Grupo 28|
03|2|Categoria 30|
03|3|Categoria 26|
02|8|Pacote 243|279.94
03|1|Grupo 75|
03|2|Classe 91|
03|3|Grupo 56|
02|9|Licença 046|246.77
03|1|Classe 26|
02|10|Serviço 884|295.25
03|1|Categoria 43|
03|2|Grupo 49|
03|3|Tipo 99|
03|4|Categoria 56|
01|NFC|08-0003|1953.82
02|1|Licença 527|100.54
03|1|Classe 21|
03|2|Classe 96|
03|3|Tipo 28|
02|2|Item 452|370.33
03|1|Grupo 93|
03|2|Classe 87|
02|3|Licença 303|225.89
03|1|Grupo 10|
03|2|Grupo 24|
03|3|Classe 68|
03|4|Categoria 96|
02|4|Licença 879|362.57
03|1|Classe 28|
03|2|Tipo 84|
02|5|Assinatura 499|286.01
03|1|Classe 83|
03|2|Grupo 75|
03|3|Tipo 30|
02|6|Item 549|125.53
03|1|Tipo 34|
03|2|Tipo 85|
02|7|Item 746|482.95
03|1|Tipo 23|
03|2|Grupo 32|
03|3|Classe 22|
03|4|Tipo 23|
01|NF|08-0004|1575.74
02|1|Licença 626|495.77
03|1|Categoria 69|
03|2|Tipo 62|
03|3|Tipo 73|
02|2|Assinatura 565|450.63
03|1|Categoria 48|
03|2|Categoria 88|
02|3|Componente 126|336.84
03|1|Classe 68|
02|4|Licença 923|160.28
03|1|Categoria 04|
02|5|Item 744|132.22
03|1|Tipo 44|
03|2|Classe 16|
03|3|Classe 74|
01|NF|08-0005|2599.58
02|1|Serviço 760|387.19
03|1|Classe 82|
02|2|Item 308|398.29
03|1|Grupo 25|
03|2|Tipo 77|
02|3|Assinatura 985|120.96
03|1|Tipo 11|
03|2|Grupo 72|
02|4|Componente 453|289.04
03|1|Classe 69|
03|2|Grupo 33|
03|3|Categoria 94|
03|4|Grupo 93|
02|5|Pacote 998|331.89
03|1|Classe 30|
03|2|Tipo 18|
03|3|Classe 90|
03|4|Tipo 41|
02|6|Serviço 182|327.55
03|1|Grupo 25|
03|2|Grupo 67|
03|3|Classe 48|
02|7|Peça 192|162.84
03|1|Tipo 34|
03|2|Categoria 81|
03|3|Categoria 47|
02|8|Item 716|155.83
03|1|Tipo 44|
03|2|Grupo 10|
03|3|Tipo 53|
03|4|Categoria 26|
02|9|Serviço 730|425.99
03|1|Categoria 91|
01|NF|08-0006|1882.79
02|1|Componente 820|29.87
03|1|Categoria 73|
03|2|Tipo 52|
02|2|Pacote 996|253.79
03|1|Tipo 06|
03|2|Classe 98|
03|3|Tipo 67|
02|3|Item 661|332.17
03|1|Categoria 62|
03|2|Grupo 83|
03|3|Grupo 26|
02|4|Peça 405|332.83
03|1|Categoria 13|
02|5|Assinatura 344|62.77
03|1|Grupo 06|
03|2|Classe 17|
02|6|Pacote 231|42.85
03|1|Tipo 03|
02|7|Item 728|379.28
03|1|Classe 45|
03|2|Grupo 71|
02|8|Assinatura 680|329.10
03|1|Grupo 33|
03|2|Categoria 55|
03|3|Tipo 84|
03|4|Tipo 40|
02|9|Produto 762|120.13
03|1|Grupo 89|
03|2|Grupo 24|
03|3|Tipo 01|
03|4|Classe 85|
01|NFS|08-0007|1239.94
02|1|Peça 925|101.13
03|1|Categoria 29|
03|2|Classe 02|
02|2|Serviço 250|99.94
03|1|Tipo 20|
03|2|Tipo 42|
02|3|Item 552|141.86
03|1|Grupo 79|
03|2|Grupo 47|
03|3|Grupo 86|
02|4|Componente 042|87.86
03|1|Categoria 33|
03|2|Classe 22|
03|3|Categoria 56|
02|5|Serviço 830|410.33
03|1|Categoria 57|
03|2|Tipo 09|
03|3|Tipo 90|
02|6|Serviço 050|382.14
03|1|Grupo 30|
03|2|Tipo 78|
03|3|Grupo 55|
02|7|Produto 218|16.68
03|1|Tipo 71|
01|CTRC|08-0008|2275.80
02|1|Pacote 982|174.24
03|1|Grupo 89|
03|2|Grupo 74|
03|3|Categoria 72|
03|4|Grupo 10|
02|2|Assinatura 179|279.53
03|1|Grupo 17|
03|2|Classe 40|
02|3|Item 603|394.99
03|1|Categoria 52|
03|2|Tipo 76|
02|4|Pacote 782|14.26
03|1|Categoria 62|
03|2|Tipo 93|
02|5|Item 867|393.37
03|1|Categoria 07|
03|2|Categoria 72|
03|3|Categoria 57|
02|6|Peça 524|402.25
03|1|Classe 05|
03|2|Categoria 94|
03|3|Categoria 00|
02|7|Serviço 978|353.91
03|1|Categoria 20|
03|2|Categoria 37|
03|3|Categoria 10|
02|8|Assinatura 557|263.25
03|1|Classe 96|
03|2|Categoria 77|
01|NFC|08-0009|881.62
02|1|Serviço 523|87.39
03|1|Categoria 18|
03|2|Categoria 05|
02|2|Item 155|50.24
03|1|Classe 97|
03|2|Categoria 32|
02|3|Peça 905|300.29
03|1|Tipo 77|
02|4|Item 184|325.02
03|1|Tipo 96|
03|2|Categoria 95|
03|3|Categoria 32|
02|5|Pacote 459|118.68
03|1|Tipo 12|
03|2|Tipo 95|
03|3|Categoria 07|
03|4|Classe 85|
01|NFS|08-0010|2622.17
02|1|Peça 142|492.46
03|1|Grupo 05|
03|2|Tipo 22|
03|3|Tipo 00|
02|2|Item 948|257.14
03|1|Categoria 15|
03|2|Categoria 83|
02|3|Componente 664|201.41
03|1|Grupo 82|
03|2|Grupo 16|
03|3|Categoria 86|
03|4|Grupo 26|
02|4|Licença 364|350.15
03|1|Classe 13|
03|2|Categoria 18|
03|3|Grupo 77|
02|5|Produto 528|339.13
03|1|Tipo 71|
03|2|Classe 23|
02|6|Serviço 432|282.62
03|1|Tipo 99|
03|2|Classe 02|
03|3|Grupo 13|
03|4|Grupo 03|
02|7|Licença 374|79.63
03|1|Categoria 24|
03|2|Categoria 11|
03|3|Categoria 19|
02|8|Produto 877|140.81
03|1|Classe 48|
02|9|Produto 495|478.82
03|1|Grupo 53|
03|2|Categoria 99|
03|3|Tipo 52|
00|62.143.095/4188-64|Empresa Versao2 09 LTDA|(69) 97093-9306
01|NF|09-0001|894.19
02|1|Licença 077|50.07
03|1|Classe 57|
03|2|Categoria 84|
03|3|Classe 80|
02|2|Peça 760|126.74
03|1|Classe 96|
03|2|Classe 88|
03|3|Grupo 86|
03|4|Categoria 29|
02|3|Licença 531|140.03
03|1|Grupo 37|
03|2|Tipo 16|
03|3|Tipo 52|
02|4|Pacote 183|70.56
03|1|Categoria 81|
03|2|Categoria 22|
03|3|Tipo 21|
02|5|Assinatura 498|450.80
03|1|Grupo 31|
03|2|Classe 32|
02|6|Item 998|55.99
03|1|Classe 63|
03|2|Tipo 19|
01|NFS|09-0002|940.16
02|1|Item 595|136.08
03|1|Classe 48|
03|2|Categoria 44|
03|3|Grupo 52|
03|4|Categoria 60|
02|2|Item 606|11.29
03|1|Classe 41|
03|2|Categoria 80|
03|3|Tipo 93|
03|4|Grupo 65|
02|3|Serviço 709|274.14
03|1|Classe 79|
